text,date,txt_len,isEnglish,isShibDoge
i to and was but still up in my on,2021-01-04 00:05:00,20,True,True
i to and was but still up in my on,2021-01-04 00:05:00,20,True,True
why we on,2021-01-04 00:05:00,7,True,True
is the the,2021-01-04 00:05:00,9,True,True
i my to was and still not in my,2021-01-04 00:05:00,15,True,True
i my to was and still not in my,2021-01-04 00:05:00,15,True,True
i i my on but i never my in when i a after the is in my this i never can someone please a,2021-01-04 00:05:00,51,True,True
in,2021-01-04 00:05:00,7,True,True
is up again,2021-01-04 00:05:00,5,True,True
would please how with in one,2021-01-04 00:05:00,13,True,True
how,2021-01-04 00:05:00,5,True,True
i of,2021-01-04 00:05:00,7,True,True
you a i you,2021-01-04 00:05:00,8,True,True
will to,2021-01-04 00:05:00,5,True,True
to the,2021-01-04 00:05:00,5,True,True
do you still to,2021-01-04 00:05:00,9,True,True
why so,2021-01-04 00:05:00,5,True,True
might go some before back on,2021-01-04 00:05:00,12,True,True
do you should i,2021-01-04 00:05:00,7,True,True
any about,2021-01-04 00:05:00,5,True,True
what about,2021-01-04 00:05:00,3,True,True
i had one about,2021-01-04 00:05:00,7,True,True
after will go down or,2021-01-04 00:05:00,8,True,True
and he is to something about,2021-01-04 00:05:00,12,True,True
i to i will be over,2021-01-04 00:05:00,15,True,True
when is to,2021-01-04 00:05:00,6,True,True
the,2021-01-04 00:05:00,4,True,True
and for have for and so for,2021-01-04 00:05:00,28,True,True
i a for and for what should i now of a,2021-01-04 00:05:00,23,True,True
how can i,2021-01-04 00:05:00,5,True,True
still on a but,2021-01-05 00:05:00,10,True,True
what about is that to and what is the to,2021-01-05 00:05:00,17,True,True
a few the of in or a but to from,2021-01-05 00:05:00,35,True,True
i in,2021-01-05 00:05:00,7,True,True
how can how are you into for a few or you never but my you will a of,2021-01-05 00:05:00,38,True,True
how much is,2021-01-05 00:05:00,5,True,True
same still take a at how many are on a but as a i might you never how will last,2021-01-05 00:05:00,41,True,True
up have up this,2021-01-05 00:05:00,10,True,True
out for some and are at least a more and so they all have some of is just a so too,2021-01-05 00:05:00,44,True,True
before was a for now everyone see an to make i anyone even had a,2021-01-05 00:05:00,27,True,True
i i some in the and in but and the is that the has been down since should i is there any of really please,2021-01-05 00:05:00,50,True,True
please do your own or on their there are also many that you can from,2021-01-05 00:05:00,23,True,True
in i why,2021-01-05 00:05:00,9,True,True
is also a i was of,2021-01-05 00:05:00,10,True,True
how about any,2021-01-05 00:05:00,5,True,True
i some but where do they go the i i were to my,2021-01-05 00:05:00,22,True,True
you re still in,2021-01-05 00:05:00,12,True,True
can any one whether to or not,2021-01-05 00:05:00,10,True,True
i if then will be a for we in and not because they with that would be really,2021-01-05 00:05:00,35,True,True
i you have to take about is only put some on for just a part of the the have no,2021-01-05 00:05:00,36,True,True
if you to to make i not a really there is a of who just to is just a there is no is just a part of a,2021-01-05 00:05:00,48,True,True
just at and you can see the all that will,2021-01-05 00:05:00,21,True,True
should i in or,2021-01-05 00:05:00,7,True,True
can i,2021-01-05 00:05:00,4,True,True
not in a at will go down as as,2021-01-05 00:05:00,23,True,True
about i just an for,2021-01-05 00:05:00,11,True,True
here everyone is about what the,2021-01-05 00:05:00,9,True,True
now now,2021-01-05 00:05:00,8,True,True
is to,2021-01-05 00:05:00,10,True,True
is but have now,2021-01-05 00:05:00,10,True,True
no on the amount of you can for now,2021-01-05 00:05:00,14,True,True
what do about,2021-01-05 00:05:00,6,True,True
should i with,2021-01-05 00:05:00,5,True,True
can anyone me for,2021-01-05 00:05:00,9,True,True
is to now,2021-01-05 00:05:00,6,True,True
did you your for on the or on the,2021-01-05 00:05:00,14,True,True
what is for by of this,2021-01-05 00:05:00,11,True,True
of,2021-01-05 00:05:00,3,True,True
,2021-01-05 00:05:00,5,True,True
can anyone,2021-01-05 00:05:00,9,True,True
can anyone,2021-01-05 00:05:00,10,True,True
can you if,2021-01-05 00:05:00,9,True,True
what is,2021-01-05 00:05:00,5,True,True
can anyone if,2021-01-05 00:05:00,11,True,True
you can with up to on the,2021-01-05 00:05:00,15,True,True
what about,2021-01-05 00:05:00,6,True,True
you can with up to on the,2021-01-05 00:05:00,11,True,True
its a name is i am not about,2021-01-05 00:05:00,17,True,True
what about,2021-01-05 00:05:00,3,True,True
the,2021-01-05 00:05:00,3,True,True
should i my or for few or more,2021-01-05 00:05:00,12,True,True
what is to,2021-01-05 00:05:00,5,True,True
i few in up to,2021-01-05 00:05:00,17,True,True
are you,2021-01-05 00:05:00,4,True,True
is to,2021-01-05 00:05:00,6,True,True
i,2021-01-05 00:05:00,3,True,True
is,2021-01-05 00:05:00,4,True,True
not its due to of,2021-01-05 00:05:00,10,True,True
or,2021-01-05 00:05:00,4,True,True
if you into would now be over,2021-01-05 00:05:00,16,True,True
should i,2021-01-05 00:05:00,7,True,True
here who do,2021-01-05 00:05:00,5,True,True
only,2021-01-05 00:05:00,3,True,True
,2021-01-05 00:05:00,3,True,True
when do will,2021-01-05 00:05:00,8,True,True
anyone to,2021-01-05 00:05:00,7,True,True
will,2021-01-05 00:05:00,4,True,True
is a,2021-01-05 00:05:00,4,True,True
what do you about,2021-01-05 00:05:00,6,True,True
any when will,2021-01-05 00:05:00,6,True,True
if next on about,2021-01-05 00:05:00,13,True,True
now or,2021-01-05 00:05:00,5,True,True
of before,2021-01-05 00:05:00,6,True,True
will keep down or will,2021-01-06 00:05:00,9,True,True
down,2021-01-06 00:05:00,3,True,True
any for for next,2021-01-06 00:05:00,9,True,True
is if i this,2021-01-06 00:05:00,8,True,True
i had in and its in but i had no please no please,2021-01-06 00:05:00,22,True,True
,2021-01-06 00:05:00,5,True,True
was to a and they were say to out there are if just one their will be back down to,2021-01-06 00:05:00,36,True,True
in,2021-01-06 00:05:00,8,True,True
in,2021-01-06 00:05:00,5,True,True
should i,2021-01-06 00:05:00,5,True,True
what about i had at,2021-01-06 00:05:00,8,True,True
this is a about not,2021-01-06 00:05:00,9,True,True
